Rk,Players,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
152,Christian Eriksen,dk DEN,MF,Manchester Utd,30-357,1992,19,18,1489,16.5,1,7,8,1,0,0,3,0,2.7,2.7,3,5.7,16,104,42,0.06,0.42,0.48,0.06,0.48,0.16,0.18,0.34,0.16,0.34,Matches,980522ec
153,Pervis Estupiñán,ec ECU,DF,Brighton,25-016,1998,17,14,1171,13,0,2,2,0,0,0,3,0,0.1,0.1,2,2.1,42,74,86,0,0.15,0.15,0,0.15,0.01,0.15,0.16,0.01,0.16,Matches,d38fdf53
154,Jonny Evans,nir NIR,DF,Leicester City,35-034,1988,9,9,810,9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,6,31,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,f8fcd2a5
155,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-222,1998,21,19,1529,17,3,3,6,3,0,0,1,0,2.6,2.6,2.8,5.3,39,67,65,0.18,0.18,0.35,0.18,0.35,0.15,0.16,0.31,0.15,0.31,Matches,ae4fc6a4
156,Łukasz Fabiański,pl POL,GK,West Ham,37-294,1985,21,21,1783,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9328b835
157,Fabinho,br BRA,MF,Liverpool,29-106,1993,18,14,1253,13.9,0,0,0,0,0,0,2,0,0.3,0.3,0.6,0.9,7,78,17,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches,7f3b388c
158,Wout Faes,be BEL,DF,Leicester City,24-309,1998,15,15,1350,15,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7,4,47,1,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05,Matches,9c221d14
159,João Félix,pt POR,FW,Chelsea,23-088,1999,1,1,57,0.6,0,0,0,0,0,0,0,1,0.8,0.8,0.2,1,5,3,10,0,0,0,0,0,1.29,0.29,1.58,1.29,1.58,Matches,8aafd64f
160,Evan Ferguson,ie IRL,FW,Brighton,18-110,2004,5,2,199,2.2,3,2,5,3,0,0,1,0,1.2,1.2,0.3,1.4,1,3,10,1.36,0.9,2.26,1.36,2.26,0.53,0.12,0.65,0.53,0.65,Matches,4596da74
161,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-151,1994,20,20,1798,20,5,4,9,4,1,1,5,0,4.1,3.3,6.9,10.2,40,136,110,0.25,0.2,0.45,0.2,0.4,0.2,0.35,0.55,0.17,0.51,Matches,507c7bdf
162,Enzo Fernández,ar ARG,MF,Chelsea,22-020,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,7,0,0,0,0,0,0,0.03,0.06,0.08,0.03,0.08,Matches,5ff4ab71
163,Mateo Fernández,es ESP,MF,Leeds United,19-110,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,6ad43f9a
164,Roberto Firmino,br BRA,FWMF,Liverpool,31-127,1991,13,11,929,10.3,7,3,10,7,0,0,0,0,4.2,4.2,1.8,6,12,60,72,0.68,0.29,0.97,0.68,0.97,0.41,0.17,0.58,0.41,0.58,Matches,4c370d81
165,Junior Firpo,es ESP,DF,Leeds United,26-168,1996,4,1,141,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,5,8,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches,24f59bb2
166,Phil Foden,eng ENG,FWDF,Manchester City,22-254,2000,18,13,1045,11.6,7,4,11,7,0,0,1,0,3.7,3.7,2,5.7,23,47,163,0.6,0.34,0.95,0.6,0.95,0.32,0.17,0.49,0.32,0.49,Matches,ed1e53f3
167,Datro Fofana,ci CIV,FWMF,Chelsea,20-046,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,3,0,0,0,0,0,1.1,0,1.1,1.1,1.1,Matches,e82900ef
168,Wesley Fofana,fr FRA,DF,Chelsea,22-051,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,132a82f1
169,Wesley Fofana,fr FRA,DF,Leicester City,22-051,2000,2,2,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,6,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,132a82f1
